Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002886,E02002871,15,0,0,0,3,2,0,9,1,0,0,0,4333.727960169063,0.03529152520129162,0,0.046030921858738694,0,15,0.6904638278810804,4.6801385546709415,5,0.3333333333333333,4.333727960169063,4-5 km,4-6 km
E02002886,E02002872,29,0,0,0,8,0,0,19,0,1,1,0,5170.08976067564,0.023585293764149785,0.034482758620689655,0.04061968120054385,0.848917509973662,27,0.608906542426868,4.127322634914601,5,0.1724137931034483,5.17008976067564,5-6 km,4-6 km
E02002886,E02002874,54,0,0,0,11,0,0,30,7,1,5,0,4281.458440326803,0.026040534010027105,0.018518518518518517,0.04375130050569409,0.42326784128641826,48,1.5660870121240507,10.615334083328055,12,0.2222222222222222,4.281458440326802,4-5 km,4-6 km
E02002886,E02002875,15,0,0,0,4,0,0,5,0,1,5,0,3086.0965734314086,0.04034223572915289,0.06666666666666667,0.04802170978408605,1.3882609962538106,9,0.16510944841516184,1.1191536240785394,2,0.13333333333333333,3.0860965734314085,3-4 km,2-4 km
E02002886,E02002876,30,0,1,0,2,0,0,18,2,0,7,0,2640.3728416630343,0.03678161220184775,0,0.0459065925540973,0,23,1.0558516287442379,7.15682953423174,7,0.23333333333333334,2.640372841663034,2-3 km,2-4 km
E02002886,E02002877,20,0,0,0,5,2,0,10,2,0,1,0,3863.384133076825,0.03330515510377344,0,0.046281941087501416,0,19,0.8793568806625269,5.960503467840877,6,0.3,3.863384133076825,3-4 km,2-4 km
E02002886,E02002879,37,0,1,0,4,1,0,24,0,1,6,0,2577.200751766947,0.02647138361033963,0.02702702702702703,0.04303762097895264,0.6279860831583716,30,0.8354623117189697,5.662974971548982,7,0.1891891891891892,2.5772007517669473,2-3 km,2-4 km
E02002886,E02002881,33,0,0,1,10,0,0,17,1,0,4,0,2821.272574968658,0.03123779786839446,0,0.04501673163273659,0,29,1.3054852173493612,8.848909170260006,9,0.2727272727272727,2.821272574968658,2-3 km,2-4 km
E02002886,E02002882,22,0,0,0,4,0,0,16,0,1,1,0,3493.7168030222274,0.043176623573936784,0.045454545454545456,0.049165647630151986,0.9245183913059937,20,0.5180646896596374,3.511573568351071,5,0.22727272727272727,3.4937168030222274,3-4 km,2-4 km
E02002886,E02002883,18,0,0,0,1,0,0,12,2,0,3,0,5377.231263551946,0.022125935889390828,0,0.03952299423929523,0,15,0.5928449135894285,4.018452850086623,4,0.2222222222222222,5.377231263551946,5-6 km,4-6 km
E02002886,E02002884,38,0,1,0,1,0,0,26,2,3,5,0,2558.218273635529,0.029897582098764516,0.07894736842105263,0.043824906849668964,1.8014269532132265,30,0.3771887304118494,2.5566806663938952,6,0.15789473684210525,2.558218273635529,2-3 km,2-4 km
E02002886,E02002885,101,0,0,0,5,1,0,59,6,1,28,1,1579.6064298099268,0.0318801477386558,0.009900990099009901,0.03798276863639528,0.2606705739065773,72,2.282703227178339,15.472740136401667,16,0.15841584158415842,1.5796064298099268,1-2 km,0-2 km
E02002886,E02002886,154,0,1,0,12,1,0,55,4,6,74,1,0,0.044629222115238475,0.03896103896103896,0.008191326030504001,4.75637751640582,74,0.022427126289714126,0.1520167374170441,6,0.03896103896103896,0,NA,NA
E02002886,E02002887,69,0,2,0,6,0,0,43,5,3,10,0,2624.010651518988,0.034860909309649246,0.043478260869565216,0.04534367830143107,0.9588604740121627,56,1.3063483770921638,8.854759885428573,12,0.17391304347826086,2.6240106515189883,2-3 km,2-4 km
E02002886,E02002889,117,0,5,0,41,3,1,52,3,3,9,0,2448.878472342258,0.03542232450690944,0.02564102564102564,0.044782768713358234,0.5725645460901838,105,3.161849081582541,21.431813214861155,24,0.20512820512820512,2.4488784723422583,2-3 km,2-4 km
E02002886,E02002890,113,0,9,0,44,1,0,41,6,1,11,0,3881.077539108187,0.03244783316257906,0.008849557522123894,0.04603580566435499,0.19223205490625328,101,4.0695792213847035,27.584637813308674,29,0.25663716814159293,3.881077539108187,3-4 km,2-4 km
