MSOA11CD,lon,lat,centroid
E02000307,-0.0809407,51.616708,"c(-0.0809407, 51.616708)"
E02000386,-0.2037846632041063,51.487923357545725,"c(-0.203784663204106, 51.4879233575457)"
E02000304,-0.12264007224887884,51.62343501566338,"c(-0.122640072248879, 51.6234350156634)"
E02000385,-0.2065896,51.4903195,"c(-0.2065896, 51.4903195)"
E02000305,-0.10586753049407908,51.62135418056501,"c(-0.105867530494079, 51.621354180565)"
E02000384,-0.2273836268245158,51.49143619381663,"c(-0.227383626824516, 51.4914361938166)"
E02000302,-0.0906953,51.6221373,"c(-0.0906953, 51.6221373)"
E02000383,-0.20951923019331375,51.49378043447886,"c(-0.209519230193314, 51.4937804344789)"
E02000303,-0.065932615518173,51.622021782160736,"c(-0.065932615518173, 51.6220217821607)"
E02000382,-0.24027414146665269,51.49349291200041,"c(-0.240274141466653, 51.4934929120004)"
E02000300,-0.06485377980526766,51.63046554091486,"c(-0.0648537798052677, 51.6304655409149)"
E02000381,-0.2222669,51.4986516,"c(-0.2222669, 51.4986516)"
E02000301,-0.04895871741440879,51.62807018069279,"c(-0.0489587174144088, 51.6280701806928)"
E02000380,-0.23091611692053848,51.501533947899674,"c(-0.230916116920538, 51.5015339478997)"
E02000308,-0.1341914,51.6160667,"c(-0.1341914, 51.6160667)"
E02000389,-0.218079,51.4813845,"c(-0.218079, 51.4813845)"
E02000309,-0.0645944197977475,51.613817217937395,"c(-0.0645944197977475, 51.6138172179374)"
E02000388,-0.20023670570349714,51.482532126651776,"c(-0.200236705703497, 51.4825321266518)"
E02000256,-0.3143692,51.5148858,"c(-0.3143692, 51.5148858)"
E02000257,-0.29703154742393517,51.516367935443235,"c(-0.297031547423935, 51.5163679354432)"
E02000254,-0.37280362513383597,51.52139879685154,"c(-0.372803625133836, 51.5213987968515)"
E02000255,-0.32298943524663715,51.520435765126265,"c(-0.322989435246637, 51.5204357651263)"
E02000252,-0.2616276,51.5203755,"c(-0.2616276, 51.5203755)"
E02000253,-0.3400155,51.5218819,"c(-0.3400155, 51.5218819)"
E02000250,-0.3088679583960353,51.526017860821355,"c(-0.308867958396035, 51.5260178608214)"
E02000251,-0.363569662096553,51.52493412910192,"c(-0.363569662096553, 51.5249341291019)"
E02000258,-0.27145495921343854,51.51559395264464,"c(-0.271454959213439, 51.5155939526446)"
E02000259,-0.337567938595548,51.515752378336046,"c(-0.337567938595548, 51.515752378336)"
E02000566,-0.1061244,51.5519841,"c(-0.1061244, 51.5519841)"
E02000567,-0.08771368967773283,51.545632455166505,"c(-0.0877136896777328, 51.5456324551665)"
E02000564,-0.1123275,51.5526597,"c(-0.1123275, 51.5526597)"
